model,roc_auc,pr_auc,default_threshold_precision,default_threshold_recall,default_threshold_f1,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_false_positives,tuned_false_negatives
xgboost_tuned,0.9991805815182793,0.9760472628696378,0.8161434977578476,0.9638128861429832,0.8838526912181303,0.9240345358848572,0.9489704565801254,0.9355692850838482,0.9422222222222222,57,73
random_forest_tuned,0.9979061886886191,0.9612959411340185,0.8980121002592912,0.9170344218887908,0.9074235807860263,0.5306738335505512,0.9078138718173837,0.912621359223301,0.9102112676056338,105,99
