epoch,train_loss,val_pr_auc
1,0.38697137976134266,0.8208834547550496
2,0.21124858536102153,0.8857926003610959
3,0.1742821038045265,0.894317627050961
4,0.1487090206394593,0.9178119970542881
5,0.1252676070564323,0.9330460070299755
6,0.10180224436852667,0.9382713955744859
7,0.08168423363456019,0.936229604154172
8,0.07130257018876296,0.9601892745976156
9,0.059771886550717884,0.9640681072651833
10,0.05434431647536931,0.9637567682103715
11,0.047563199588546046,0.9692143193431296
12,0.04381190617051389,0.9693103989174572
13,0.0394502529391536,0.9695668806817899
14,0.03750348986919831,0.9708294283602236
15,0.03268297118721185,0.9768680216086905
16,0.03240330208575836,0.9753253369642767
17,0.028613931902994712,0.9720566380569494
18,0.026388218036542337,0.9755848896977954
19,0.021864931043927317,0.97854267363963
20,0.01822848362951643,0.9796386631613269
21,0.01748491301442738,0.978714104030476
22,0.016547752903015526,0.9782631237135389
23,0.016792645715866927,0.9787188183817386
24,0.01487078391774385,0.9804374493943947
25,0.013531928795769258,0.9791434134011676
26,0.012689117683718602,0.9789428496584555
27,0.01248001993495833,0.9783289770024262
28,0.011715372130102306,0.9798567240852848
29,0.010797345866794112,0.9801086529919573
30,0.010595307851865611,0.9792080251479022
