model,roc_auc,pr_auc,default_threshold_precision,default_threshold_recall,default_threshold_f1,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_false_positives,tuned_false_negatives
hybrid,0.9967171683065542,0.9828855814571984,0.6472286374133949,0.9894086496028244,0.7825479930191972,0.9996782065872004,0.971894832275612,0.9461606354810238,0.958855098389982,31,61
lstm,0.9981062529762996,0.9804374493943948,0.7120051085568327,0.9841129744042364,0.8262319377547239,0.9888493,0.9521660649819494,0.9311562224183584,0.9415439535921464,53,78
xgboost_tuned,0.9991805815182792,0.9760472628696378,0.8161434977578476,0.9638128861429832,0.8838526912181303,0.9240345358848572,0.9489704565801254,0.9355692850838482,0.9422222222222222,57,73
xgboost,0.9991847579398762,0.9754299234017674,0.7235718975705844,0.9726390114739628,0.8298192771084337,0.9455429911613464,0.9478885893980232,0.9311562224183584,0.9394479073909172,58,78
random_forest,0.9970977703993013,0.9617321595580016,0.9444967074317968,0.8861429832303619,0.9143897996357012,0.485,0.9413407821229052,0.8923212709620476,0.9161758042591752,63,122
random_forest_tuned,0.9979061886886192,0.9612959411340184,0.8980121002592912,0.9170344218887908,0.9074235807860264,0.5306738335505512,0.9078138718173836,0.912621359223301,0.9102112676056338,105,99
fnn,0.99889973884676,0.956125831551505,0.3429981492905614,0.9814651368049426,0.5083428571428571,0.9925447,0.9312906220984216,0.8852603706972639,0.9076923076923076,74,130
logistic_regression_smote,0.9838934315600916,0.4790756003483332,0.4664893617021277,0.7740511915269197,0.5821440424825755,0.8179083477516502,0.5771065182829889,0.6407766990291263,0.6072772898368883,532,407
logistic_regression,0.9862168775933782,0.4305579507841471,0.0925583443416997,0.9276257722859664,0.1683215887251761,0.9910022809629352,0.5127118644067796,0.6407766990291263,0.5696351510396234,690,407
