model,roc_auc,pr_auc,default_threshold_precision,default_threshold_recall,default_threshold_f1,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_false_positives,tuned_false_negatives
xgboost,0.9991847579398762,0.9754299234017674,0.7235718975705844,0.9726390114739629,0.8298192771084337,0.9455429911613464,0.9478885893980233,0.9311562224183584,0.9394479073909172,58,78
random_forest,0.9970977703993013,0.9617321595580015,0.9444967074317968,0.8861429832303619,0.9143897996357013,0.485,0.9413407821229051,0.8923212709620476,0.9161758042591753,63,122
logistic_regression_smote,0.9838934315600915,0.4790756003483332,0.4664893617021277,0.7740511915269197,0.5821440424825755,0.8179083477516502,0.5771065182829889,0.6407766990291263,0.6072772898368883,532,407
logistic_regression,0.9862168775933782,0.4305579507841471,0.0925583443416997,0.9276257722859664,0.16832158872517616,0.9910022809629352,0.5127118644067796,0.6407766990291263,0.5696351510396234,690,407
