epoch,train_loss,val_pr_auc
1,0.5851363418278871,0.49909095280325044
2,0.34286804734556764,0.5665433759477163
3,0.29269695072262375,0.656747287307327
4,0.25596713732790066,0.7534033044874999
5,0.2380617650018798,0.8031509795698245
6,0.21291266751510127,0.8543613322500874
7,0.19160934087854845,0.8293816060125901
8,0.17195080987833164,0.884683870517221
9,0.16480112558713667,0.8754674750027649
10,0.1470547781498344,0.9027540936630417
11,0.1414900978958165,0.9122160058474484
12,0.13334370899807524,0.8890934561614887
13,0.1193086831520001,0.9254431727604202
14,0.11962836201268214,0.9306731411409097
15,0.11710293700021726,0.9289652605047855
16,0.11815355682262668,0.9021898842313992
17,0.10339453354201934,0.940459841439246
18,0.10693286370348047,0.9410889240600531
19,0.11438808416326841,0.9331883468104446
20,0.10498203574507325,0.9404621449379753
21,0.10477876990205712,0.935063035845311
22,0.09746624994333143,0.948351726215499
23,0.08585328306588862,0.9512660736296952
24,0.082993066103922,0.9476358219904102
25,0.08366391574618993,0.9450279833301901
26,0.08159476092982071,0.9479621829826675
27,0.08136599643362893,0.9510902557618465
28,0.08066319648038459,0.9533416964495945
29,0.07804321468704277,0.9517671479659222
30,0.07520777564495802,0.9521608438323264
31,0.07358139115903113,0.9538755853543626
32,0.0751487611896462,0.9548140664716432
33,0.07392314099879177,0.9519991497578456
34,0.07626562331009794,0.9530452078610161
35,0.07596253838252139,0.9521747125406493
36,0.0737006862682325,0.9547286797290999
37,0.07317959953237463,0.9549098100189104
38,0.07292753936791861,0.9551919951221544
39,0.07012448164599913,0.956125831551505
40,0.0706533457118052,0.9558607474737909
